 [2025-05-20 19:47:16.967897] IP: 127.0.0.1 | Type: SQLi | Payload:    ' OR '1'='1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:47:33.133819] IP: 127.0.0.1 | Type: LFI | Payload: ../../proc/self/environ | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:48:11.888897] IP: 127.0.0.1 | Type: LFI | Payload: ../../secret.txt | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:53:40.745097] IP: 127.0.0.1 | Type: SQLi | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyzgg.is7--Sm0YWOdDt7iYFL7ageESvw    ' OR '1'='1 ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:03.351682] IP: 127.0.0.1 | Type: XSS | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyzlA.aLdccnf9I4EJfcZZRXKPG6vlWLk <script>alert(1)</script> ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:14.252438] IP: 127.0.0.1 | Type: LFI | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyzqw.JSAuz5t7o9aMhP6TBqVMImAADVY ../../etc/passwd ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:23.239387] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyztg.psgfVKHnUqVj5a01BFTXSOuptik ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:25.506964] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyzvw.7IUP0TbsWd-VcbmjNJ6JUlPtLM4 ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:26.555517] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyzwQ.c-GOaSI8kigVxLdQT0wIKY6qOGo ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:27.049208] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyzwg.GpQXRlB5kGm7WnYgMBhxt5uybPE ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:32.402197] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyzww.9JwbHVKCl1eJFN05pgWkYakL10U ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
